txId,class
230425980,0
5530458,0
232022460,0
232438397,2
230460314,0
230459870,0
230333930,0
230595899,0
232013274,0
232029206,2
232344069,2
27553029,2
36411953,0
230405052,0
34194980,0
5529846,0
3881097,2
232457116,2
230409257,0
32877982,0
230351738,0
195218118,0
88008478,0
232012569,0
232412408,0
232412405,2
232038018,0
232470342,2
2925426,0
230550393,2
232051089,2
232470704,2
233591710,0
234439913,0
232945017,0
94251207,0
6595740,0
79840192,0
212704383,0
212366182,0
69254632,0
230595355,0
166890641,0
82304496,0
232033533,2
230470022,0
230598493,0
43560505,0
14878322,0
230415750,0
232073372,0
75604335,0
230473487,2
7089694,2
231179595,2
3307463,0
230658679,0
232074274,0
5234549,0
231177927,2
232431877,0
2758467,2
81273879,0
232437171,2
3878856,0
3878886,2
231182296,2
14660781,2
13334987,0
5530452,0
230519287,0
194810163,0
230423321,0
232399276,0
230659456,0
230658142,0
230347386,0
37233982,0
230427468,0
43358239,2
230528714,2
75605182,0
75604052,0
230585122,2
231208959,0
230455950,0
2881274,2
232658952,0
232658962,0
230530291,0
2881273,2
75604616,0
37232637,0
230531551,0
4619363,0
230516010,0
230516478,2
232441583,0
232441589,0
5488136,2
27553759,2
5529367,0
232467632,2
230658273,0
230658517,0
231181128,2
232453404,2
232353601,0
230447764,2
230423018,2
232392936,2
234419729,0
152498092,2
230531146,0
230545782,0
230415003,0
230414561,0
230453429,0
230459154,0
230425284,0
83431059,0
230530225,0
230095969,0
230440353,0
230440535,0
230440534,0
232022496,0
232022773,0
230348238,0
3409584,0
89273,2
3906238,2
230973596,2
232455956,2
38062994,2
80044108,0
230423318,2
146601928,0
232368272,0
232453639,2
232453630,2
51860219,2
230521273,0
230522097,2
230658997,0
1913117,2
232909272,2
231179660,0
231177063,2
206222134,2
192431356,2
230967090,0
230439439,0
230658277,0
230563355,0
230455752,0
232416085,0
232038004,0
232037822,0
230471902,0
230471916,0
232393313,0
230511916,0
200165930,2
39617084,0
230432611,2
230966618,2
230512979,2
230530178,0
232070456,0
232436036,0
230674241,2
230330969,0
232918438,0
230335026,0
232698839,0
230918484,2
40297647,2
230459131,0
230559672,0
230447404,2
3877919,2
54492406,0
4855592,0
231995264,2
232468876,2
231994250,0
232910950,0
3907739,0
230438749,0
232687445,0
189305695,2
2819887,0
232956426,0
230530380,0
230474094,0
230473989,0
75604389,0
75604980,0
232440027,2
232448376,2
230471946,0
231429973,0
79642404,0
71136742,0
232897313,0
231168875,0
230537133,2
230537117,0
232040268,0
230467682,0
2756358,0
232432897,0
66396856,0
13805515,2
230470027,2
2893869,0
232634676,0
232364856,0
232440939,0
79642776,0
42953128,0
230424236,0
230449513,2
230449518,2
230529171,0
14580549,0
86655785,0
230577422,0
232457903,2
11011839,2
230471924,0
232894488,0
230391412,2
2893846,0
230334809,0
230465219,2
230541525,0
2880930,2
230452144,2
2706899,2
230681119,2
232472581,2
232345632,0
230463877,0
232916687,2
232431856,0
230683178,0
230349226,0
233221331,0
81167039,0
230594121,0
232440137,2
230639246,2
232399274,0
232399270,0
230659151,0
230467618,0
